country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,9000000,9170000,9350000,9530000,9730000,9940000,10200000,10400000,10600000,10900000,11100000,11400000,11700000,12000000,12300000,12600000,12800000,13100000,13200000,13300000,13200000,13100000,12700000,12400000,12000000,11800000,11600000,11500000,11500000,11800000,12200000,13000000,14000000,15100000,16200000,17100000,17800000,18400000,18900000,19400000,20100000,21000000,22000000,23100000,24100000,25100000,25900000,26600000,27300000,28000000,28800000,29700000,30700000,31700000,32800000,33700000,34700000,35500000
Albania,1610000,1660000,1710000,1760000,1810000,1860000,1910000,1970000,2020000,2080000,2140000,2190000,2240000,2300000,2350000,2400000,2460000,2510000,2570000,2620000,2670000,2730000,2780000,2840000,2900000,2960000,3020000,3080000,3140000,3230000,3290000,3270000,3250000,3230000,3210000,3190000,3170000,3150000,3130000,3110000,3090000,3060000,3050000,3040000,3030000,3010000,2990000,2970000,2950000,2930000,2910000,2910000,2900000,2900000,2890000,2880000,2880000,2870000
Algeria,11100000,11400000,11700000,12000000,12300000,12600000,13000000,13400000,13700000,14100000,14600000,15000000,15400000,15800000,16200000,16700000,17200000,17700000,18200000,18800000,19300000,19900000,20600000,21200000,21900000,22600000,23200000,23900000,24600000,25300000,25900000,26600000,27200000,27800000,28400000,28900000,29400000,29900000,30300000,30800000,31200000,31600000,32000000,32400000,32800000,33300000,33800000,34300000,34900000,35500000,36100000,36800000,37600000,38300000,39100000,39900000,40600000,41300000
Andorra,13400,14400,15400,16400,17500,18500,19600,20800,21900,23100,24300,25600,26900,28200,29500,30700,31800,32800,33700,34800,36100,37500,39100,40900,42700,44600,46500,48500,50400,52400,54500,56700,58900,61000,62700,63900,64400,64300,64100,64400,65400,67300,70000,73200,76200,78900,81000,82700,83900,84500,84400,83800,82400,80800,79200,78000,77300,77000
Angola,5640000,5750000,5870000,5980000,6090000,6200000,6310000,6410000,6520000,6640000,6780000,6930000,7090000,7280000,7470000,7680000,7900000,8130000,8380000,8640000,8930000,9240000,9580000,9930000,10300000,10600000,10900000,11200000,11500000,11800000,12200000,12600000,13000000,13400000,13800000,14300000,14700000,15100000,15500000,15900000,16400000,17000000,17600000,18200000,18900000,19600000,20300000,21000000,21800000,22500000,23400000,24200000,25100000,26000000,26900000,27900000,28800000,29800000
Antigua and Barbuda,55300,56100,57100,58300,59500,60800,62100,63400,64700,65900,67100,68200,69200,70100,70900,71600,72300,72900,73300,73500,73400,73100,72400,71600,70700,69800,68800,67800,67100,66600,66700,67300,68400,69900,71700,73600,75600,77700,79900,81800,83600,85100,86300,87300,88300,89300,90300,91400,92500,93600,94700,95700,96800,97800,98900,99900,101000,102000
Argentina,20600000,21000000,21300000,21600000,22000000,22300000,22600000,22900000,23300000,23600000,24000000,24400000,24800000,25200000,25600000,26100000,26500000,26900000,27300000,27700000,28100000,28500000,29000000,29500000,29900000,30400000,30900000,31300000,31800000,32300000,32700000,33200000,33700000,34100000,34600000,35000000,35400000,35800000,36200000,36600000,37100000,37500000,37900000,38300000,38700000,39100000,39600000,40000000,40400000,40800000,41200000,41700000,42100000,42500000,43000000,43400000,43800000,44300000
Armenia,1870000,1940000,2010000,2080000,2140000,2210000,2280000,2340000,2400000,2460000,2530000,2590000,2650000,2710000,2770000,2830000,2890000,2940000,3000000,3050000,3100000,3150000,3190000,3240000,3290000,3340000,3390000,3450000,3500000,3540000,3540000,3510000,3440000,3360000,3280000,3220000,3170000,3130000,3110000,3090000,3070000,3050000,3030000,3020000,3000000,2980000,2960000,2930000,2910000,2890000,2880000,2880000,2880000,2890000,2910000,2920000,2920000,2930000
Australia,10300000,10500000,10700000,11000000,11200000,11400000,11700000,11800000,12000000,12300000,12500000,12900000,13200000,13400000,13700000,13900000,14000000,14200000,14400000,14500000,14700000,14900000,15200000,15400000,15500000,15800000,16000000,16300000,16500000,16800000,17100000,17300000,17500000,17700000,17900000,18100000,18300000,18500000,18700000,18900000,19200000,19400000,19700000,19900000,20100000,20400000,20700000,20800000,21200000,21700000,22000000,22300000,22700000,23100000,23500000,23900000,24200000,24600000
Austria,7050000,7090000,7130000,7180000,7220000,7270000,7320000,7380000,7420000,7440000,7470000,7500000,7540000,7590000,7600000,7580000,7570000,7570000,7560000,7550000,7550000,7570000,7570000,7560000,7560000,7560000,7570000,7570000,7590000,7620000,7680000,7750000,7840000,7910000,7940000,7950000,7960000,7970000,7980000,7990000,8010000,8040000,8080000,8120000,8170000,8230000,8270000,8300000,8320000,8340000,8360000,8390000,8430000,8480000,8550000,8640000,8740000,8810000
Azerbaijan,3900000,4030000,4170000,4320000,4460000,4590000,4720000,4840000,4960000,5070000,5180000,5280000,5390000,5480000,5580000,5670000,5770000,5860000,5960000,6050000,6150000,6250000,6350000,6450000,6560000,6670000,6780000,6890000,7010000,7130000,7160000,7270000,7380000,7500000,7600000,7690000,7760000,7840000,7910000,7980000,8050000,8110000,8170000,8230000,8310000,8390000,8480000,8580000,8760000,8950000,9050000,9170000,9300000,9420000,9540000,9650000,9760000,9860000
Bahamas,110000,115000,121000,127000,134000,140000,146000,153000,159000,164000,169000,174000,178000,181000,185000,189000,193000,197000,202000,206000,211000,215000,220000,225000,230000,235000,239000,243000,248000,252000,256000,261000,266000,271000,276000,280000,284000,287000,290000,294000,298000,303000,309000,316000,323000,329000,336000,342000,349000,355000,361000,367000,372000,377000,382000,387000,391000,395000
Bahrain,162000,168000,173000,178000,183000,187000,192000,196000,201000,206000,213000,220000,229000,240000,252000,267000,284000,303000,323000,343000,360000,374000,386000,396000,407000,419000,433000,449000,465000,481000,496000,510000,523000,536000,550000,564000,579000,595000,614000,637000,665000,698000,735000,779000,830000,889000,958000,1040000,1110000,1190000,1240000,1280000,1300000,1320000,1340000,1370000,1430000,1490000
Bangladesh,48200000,49600000,51000000,52500000,54100000,55800000,57700000,59600000,61600000,63400000,65000000,66400000,67600000,68700000,69900000,71300000,73000000,74900000,77000000,79200000,81500000,83700000,86000000,88300000,90700000,93200000,95700000,98300000,101000000,104000000,106000000,109000000,111000000,114000000,116000000,119000000,121000000,124000000,126000000,129000000,132000000,134000000,137000000,139000000,141000000,143000000,145000000,147000000,149000000,150000000,152000000,154000000,156000000,158000000,159000000,161000000,163000000,165000000
Barbados,231000,232000,233000,234000,235000,235000,236000,237000,237000,238000,239000,240000,241000,243000,245000,246000,247000,249000,250000,251000,252000,253000,254000,255000,255000,256000,257000,258000,259000,259000,260000,261000,262000,263000,264000,265000,266000,267000,268000,269000,270000,271000,271000,272000,273000,274000,275000,276000,277000,278000,280000,281000,282000,283000,283000,284000,285000,286000
Belarus,8200000,8270000,8350000,8440000,8520000,8610000,8700000,8790000,8870000,8960000,9040000,9120000,9190000,9260000,9320000,9370000,9410000,9460000,9530000,9580000,9640000,9710000,9780000,9840000,9910000,9980000,10000000,10100000,10100000,10200000,10200000,10200000,10200000,10200000,10200000,10200000,10200000,10100000,10100000,10000000,9980000,9930000,9870000,9800000,9730000,9660000,9600000,9560000,9530000,9510000,9490000,9470000,9460000,9470000,9470000,9490000,9500000,9510000
Belgium,9150000,9180000,9220000,9290000,9380000,9460000,9530000,9580000,9620000,9650000,9660000,9670000,9710000,9740000,9770000,9800000,9820000,9830000,9840000,9850000,9860000,9860000,9860000,9860000,9860000,9860000,9860000,9870000,9900000,9940000,9970000,10000000,10000000,10100000,10100000,10100000,10200000,10200000,10200000,10200000,10300000,10300000,10300000,10400000,10400000,10500000,10500000,10600000,10700000,10800000,10900000,11000000,11100000,11200000,11200000,11300000,11300000,11400000
Belize,92100,94700,97400,100000,103000,106000,109000,113000,116000,119000,122000,125000,127000,129000,131000,133000,135000,137000,139000,141000,144000,148000,152000,156000,160000,165000,170000,174000,179000,183000,188000,191000,194000,198000,202000,207000,214000,222000,230000,239000,247000,255000,262000,269000,276000,283000,291000,298000,306000,314000,322000,329000,337000,344000,352000,359000,367000,375000
Benin,2430000,2470000,2500000,2540000,2590000,2630000,2680000,2740000,2790000,2850000,2910000,2980000,3040000,3110000,3190000,3270000,3350000,3430000,3520000,3620000,3720000,3820000,3930000,4040000,4160000,4280000,4400000,4540000,4670000,4820000,4980000,5150000,5330000,5520000,5710000,5910000,6090000,6280000,6470000,6660000,6870000,7080000,7300000,7520000,7750000,7980000,8220000,8450000,8700000,8940000,9200000,9460000,9730000,10000000,10300000,10600000,10900000,11200000
Bhutan,223000,229000,235000,241000,247000,254000,262000,271000,280000,289000,298000,308000,318000,328000,339000,350000,361000,373000,385000,397000,409000,420000,431000,442000,454000,467000,483000,500000,517000,530000,537000,537000,532000,523000,517000,515000,519000,529000,542000,558000,573000,590000,606000,623000,640000,657000,672000,687000,701000,714000,728000,741000,753000,765000,776000,787000,798000,808000
Bolivia,3690000,3760000,3840000,3910000,3990000,4070000,4150000,4240000,4320000,4410000,4510000,4600000,4700000,4800000,4900000,5010000,5120000,5230000,5350000,5470000,5590000,5710000,5840000,5960000,6090000,6210000,6340000,6460000,6590000,6720000,6860000,6990000,7130000,7270000,7420000,7570000,7720000,7870000,8030000,8180000,8340000,8500000,8650000,8810000,8970000,9130000,9280000,9440000,9600000,9760000,9920000,10100000,10200000,10400000,10600000,10700000,10900000,11100000
Bosnia and Herzegovina,3230000,3290000,3350000,3420000,3480000,3540000,3590000,3630000,3680000,3720000,3760000,3810000,3850000,3900000,3940000,3990000,4030000,4060000,4100000,4140000,4180000,4220000,4270000,4310000,4350000,4390000,4440000,4480000,4510000,4510000,4460000,4370000,4240000,4090000,3950000,3840000,3780000,3750000,3750000,3760000,3770000,3770000,3780000,3780000,3780000,3780000,3780000,3770000,3760000,3750000,3720000,3690000,3650000,3600000,3570000,3540000,3520000,3510000
Botswana,525000,537000,551000,565000,581000,597000,615000,633000,653000,674000,696000,719000,743000,769000,796000,826000,858000,892000,928000,964000,1000000,1040000,1080000,1110000,1150000,1190000,1230000,1260000,1300000,1340000,1380000,1420000,1460000,1490000,1530000,1570000,1600000,1640000,1670000,1700000,1730000,1750000,1780000,1800000,1830000,1860000,1880000,1910000,1950000,1980000,2010000,2050000,2090000,2130000,2170000,2210000,2250000,2290000
Brazil,72200000,74400000,76600000,78900000,81200000,83500000,85800000,88200000,90600000,92900000,95300000,97700000,100000000,103000000,105000000,108000000,110000000,113000000,116000000,118000000,121000000,124000000,127000000,130000000,133000000,136000000,138000000,141000000,144000000,147000000,149000000,152000000,155000000,157000000,160000000,162000000,165000000,168000000,170000000,173000000,175000000,178000000,180000000,182000000,185000000,187000000,189000000,191000000,193000000,195000000,197000000,199000000,201000000,202000000,204000000,206000000,208000000,209000000
Brunei,81700,85600,89500,93600,97800,102000,107000,112000,118000,124000,130000,136000,142000,149000,155000,162000,168000,175000,181000,188000,194000,200000,206000,212000,218000,225000,231000,238000,244000,252000,259000,266000,274000,282000,290000,297000,305000,312000,319000,326000,333000,340000,347000,353000,360000,365000,370000,375000,379000,384000,389000,394000,400000,406000,412000,418000,423000,429000
Bulgaria,7870000,7940000,8010000,8080000,8140000,8200000,8260000,8310000,8370000,8430000,8490000,8540000,8580000,8620000,8680000,8720000,8760000,8800000,8810000,8830000,8860000,8890000,8920000,8940000,8960000,8960000,8960000,8970000,8980000,8880000,8720000,8630000,8540000,8470000,8440000,8410000,8360000,8310000,8260000,8210000,8170000,8010000,7840000,7780000,7720000,7660000,7600000,7550000,7490000,7440000,7400000,7350000,7310000,7270000,7220000,7180000,7130000,7080000
Burkina Faso,4830000,4890000,4960000,5030000,5100000,5170000,5260000,5340000,5430000,5530000,5620000,5720000,5830000,5930000,6040000,6150000,6270000,6400000,6530000,6670000,6820000,6990000,7160000,7340000,7530000,7730000,7930000,8140000,8360000,8580000,8810000,9050000,9300000,9550000,9820000,10100000,10400000,10700000,11000000,11300000,11600000,11900000,12300000,12700000,13000000,13400000,13800000,14300000,14700000,15100000,15600000,16100000,16600000,17100000,17600000,18100000,18600000,19200000
Burundi,2790000,2840000,2890000,2950000,3010000,3080000,3150000,3230000,3320000,3390000,3460000,3510000,3540000,3580000,3620000,3670000,3740000,3820000,3910000,4010000,4120000,4220000,4330000,4450000,4570000,4700000,4840000,4990000,5140000,5280000,5420000,5540000,5660000,5770000,5870000,5960000,6040000,6110000,6190000,6280000,6400000,6560000,6740000,6950000,7180000,7420000,7680000,7940000,8210000,8490000,8770000,9040000,9320000,9600000,9890000,10200000,10500000,10900000
Cambodia,5720000,5870000,6030000,6180000,6330000,6470000,6580000,6690000,6780000,6880000,6990000,7140000,7300000,7450000,7530000,7520000,7400000,7190000,6960000,6770000,6690000,6750000,6920000,7170000,7450000,7710000,7960000,8200000,8430000,8690000,8970000,9290000,9620000,9970000,10300000,10700000,11000000,11300000,11600000,11900000,12200000,12400000,12600000,12900000,13100000,13300000,13500000,13700000,13900000,14100000,14300000,14500000,14800000,15000000,15300000,15500000,15800000,16000000
Cameroon,5180000,5290000,5400000,5520000,5650000,5780000,5920000,6060000,6210000,6360000,6530000,6700000,6880000,7060000,7250000,7460000,7670000,7890000,8120000,8360000,8620000,8880000,9160000,9450000,9740000,10100000,10400000,10700000,11000000,11400000,11700000,12100000,12400000,12800000,13100000,13500000,13800000,14200000,14500000,14900000,15300000,15700000,16100000,16500000,17000000,17400000,17900000,18400000,18900000,19400000,20000000,20500000,21100000,21700000,22200000,22800000,23400000,24100000
Canada,17900000,18300000,18600000,19000000,19300000,19700000,20000000,20400000,20700000,21000000,21300000,21600000,22000000,22400000,22800000,23200000,23500000,23800000,24000000,24300000,24600000,24900000,25200000,25500000,25700000,25900000,26200000,26600000,26900000,27400000,27800000,28200000,28500000,28800000,29100000,29400000,29700000,30000000,30200000,30500000,30800000,31100000,31400000,31700000,32000000,32300000,32600000,32900000,33200000,33600000,34000000,34300000,34800000,35200000,35500000,35800000,36300000,36700000
Cape Verde,202000,206000,211000,217000,224000,231000,240000,249000,258000,265000,270000,273000,274000,273000,272000,272000,274000,276000,279000,282000,287000,292000,297000,303000,309000,315000,320000,325000,330000,335000,342000,350000,359000,369000,379000,389000,399000,408000,417000,426000,435000,444000,452000,460000,468000,475000,481000,486000,492000,497000,502000,508000,514000,520000,526000,533000,540000,546000
Central African Republic,1500000,1530000,1560000,1590000,1620000,1650000,1680000,1720000,1760000,1790000,1830000,1860000,1900000,1940000,1980000,2020000,2060000,2110000,2160000,2220000,2280000,2350000,2420000,2490000,2570000,2630000,2700000,2760000,2810000,2870000,2940000,3010000,3100000,3180000,3270000,3350000,3440000,3520000,3600000,3680000,3750000,3830000,3910000,3980000,4060000,4130000,4200000,4280000,4350000,4400000,4450000,4480000,4490000,4500000,4520000,4550000,4590000,4660000
Chad,3000000,3060000,3120000,3180000,3250000,3310000,3370000,3430000,3500000,3570000,3640000,3730000,3820000,3910000,4000000,4090000,4170000,4250000,4340000,4420000,4510000,4610000,4720000,4830000,4950000,5090000,5240000,5410000,5580000,5770000,5960000,6150000,6350000,6560000,6770000,7000000,7240000,7490000,7760000,8040000,8340000,8660000,9000000,9350000,9710000,10100000,10400000,10800000,11100000,11500000,11900000,12300000,12700000,13100000,13600000,14000000,14500000,14900000
Chile,7720000,7890000,8070000,8250000,8430000,8620000,8810000,9000000,9190000,9380000,9560000,9750000,9920000,10100000,10300000,10400000,10600000,10800000,10900000,11100000,11300000,11400000,11600000,11800000,12000000,12200000,12400000,12600000,12800000,13000000,13200000,13500000,13700000,13900000,14100000,14300000,14500000,14700000,14900000,15100000,15300000,15400000,15600000,15800000,16000000,16100000,16300000,16500000,16700000,16800000,17000000,17200000,17300000,17500000,17600000,17800000,17900000,18100000
China,667000000,660000000,666000000,682000000,698000000,715000000,735000000,755000000,775000000,796000000,818000000,841000000,862000000,882000000,900000000,916000000,931000000,943000000,956000000,969000000,981000000,994000000,1010000000,1020000000,1040000000,1050000000,1070000000,1080000000,1100000000,1120000000,1140000000,1150000000,1160000000,1180000000,1190000000,1200000000,1220000000,1230000000,1240000000,1250000000,1260000000,1270000000,1280000000,1290000000,1300000000,1300000000,1310000000,1320000000,1320000000,1330000000,1340000000,1340000000,1350000000,1360000000,1360000000,1370000000,1380000000,1390000000
Colombia,16500000,17000000,17500000,18000000,18600000,19100000,19700000,20300000,20900000,21500000,22100000,22600000,23100000,23700000,24200000,24800000,25300000,25900000,26500000,27100000,27700000,28400000,29000000,29700000,30400000,31000000,31700000,32300000,33000000,33600000,34300000,34900000,35600000,36200000,36800000,37400000,38000000,38600000,39200000,39800000,40400000,41000000,41600000,42200000,42700000,43300000,43800000,44400000,44900000,45400000,45900000,46400000,46900000,47300000,47800000,48200000,48700000,49100000
Comoros,191000,194000,197000,200000,204000,207000,211000,216000,221000,225000,230000,235000,239000,244000,250000,257000,266000,276000,287000,297000,308000,318000,327000,336000,345000,355000,366000,377000,388000,400000,412000,424000,436000,449000,462000,475000,489000,502000,515000,529000,542000,556000,569000,583000,597000,612000,626000,642000,657000,673000,690000,707000,724000,742000,759000,777000,796000,814000
"Congo, Dem. Rep.",15200000,15600000,16000000,16500000,16900000,17400000,17900000,18400000,18900000,19500000,20000000,20600000,21100000,21700000,22300000,22900000,23600000,24200000,25000000,25700000,26400000,27000000,27700000,28400000,29100000,29900000,30700000,31500000,32400000,33500000,34600000,35900000,37300000,38800000,40300000,41600000,42800000,43800000,44800000,45900000,47100000,48400000,49800000,51400000,53000000,54800000,56500000,58400000,60400000,62400000,64500000,66700000,69000000,71300000,73700000,76200000,78700000,81300000
"Congo, Rep.",1040000,1060000,1090000,1120000,1150000,1180000,1220000,1250000,1290000,1330000,1360000,1410000,1450000,1500000,1540000,1590000,1640000,1690000,1740000,1790000,1840000,1890000,1950000,2010000,2070000,2130000,2190000,2250000,2310000,2380000,2440000,2510000,2580000,2650000,2720000,2800000,2880000,2960000,3050000,3140000,3230000,3320000,3410000,3500000,3610000,3720000,3840000,3980000,4120000,4250000,4390000,4510000,4630000,4750000,4870000,5000000,5130000,5260000
Costa Rica,1330000,1380000,1430000,1480000,1540000,1590000,1640000,1690000,1750000,1800000,1850000,1900000,1950000,2000000,2050000,2100000,2150000,2210000,2270000,2330000,2390000,2450000,2520000,2590000,2660000,2730000,2800000,2870000,2940000,3020000,3100000,3180000,3260000,3340000,3430000,3510000,3600000,3680000,3770000,3850000,3930000,4000000,4060000,4130000,4190000,4250000,4310000,4370000,4430000,4490000,4550000,4600000,4650000,4710000,4760000,4810000,4860000,4910000
Cote d'Ivoire,3560000,3690000,3840000,4000000,4160000,4320000,4490000,4660000,4830000,5030000,5240000,5480000,5740000,6010000,6310000,6610000,6920000,7250000,7590000,7930000,8290000,8660000,9040000,9430000,9830000,10200000,10600000,11000000,11400000,11800000,12300000,12700000,13200000,13600000,14100000,14500000,15000000,15400000,15900000,16300000,16700000,17000000,17400000,17700000,18000000,18300000,18700000,19100000,19500000,19900000,20400000,20900000,21400000,22000000,22500000,23100000,23700000,24300000
Croatia,4140000,4170000,4200000,4230000,4260000,4290000,4310000,4340000,4360000,4390000,4410000,4440000,4460000,4480000,4500000,4510000,4530000,4530000,4560000,4570000,4590000,4610000,4640000,4660000,4680000,4700000,4720000,4740000,4760000,4770000,4780000,4510000,4470000,4640000,4650000,4670000,4490000,4570000,4500000,4550000,4430000,4440000,4440000,4440000,4440000,4440000,4440000,4440000,4430000,4430000,4420000,4280000,4270000,4260000,4240000,4200000,4170000,4130000
Cuba,7140000,7290000,7450000,7620000,7790000,7950000,8110000,8260000,8410000,8560000,8720000,8870000,9030000,9180000,9320000,9440000,9540000,9630000,9710000,9780000,9840000,9880000,9930000,9970000,10000000,10100000,10200000,10300000,10400000,10500000,10600000,10700000,10700000,10800000,10900000,10900000,11000000,11000000,11100000,11100000,11200000,11200000,11200000,11200000,11300000,11300000,11300000,11300000,11300000,11300000,11300000,11400000,11400000,11400000,11400000,11500000,11500000,11500000
Cyprus,573000,576000,578000,578000,579000,581000,585000,591000,598000,606000,614000,621000,628000,635000,642000,650000,658000,666000,673000,680000,685000,689000,692000,694000,698000,704000,712000,723000,736000,751000,767000,783000,801000,819000,837000,855000,873000,891000,909000,926000,943000,960000,977000,994000,1010000,1030000,1050000,1060000,1080000,1100000,1110000,1120000,1140000,1140000,1150000,1160000,1170000,1180000
Czech Republic,9600000,9590000,9620000,9670000,9730000,9780000,9820000,9850000,9880000,9900000,9860000,9830000,9870000,9920000,9990000,10100000,10100000,10200000,10200000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10400000,10400000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10200000,10200000,10200000,10200000,10200000,10200000,10300000,10400000,10400000,10500000,10500000,10500000,10500000,10500000,10500000,10600000,10600000
Denmark,4580000,4610000,4650000,4680000,4720000,4760000,4800000,4840000,4860000,4890000,4930000,4960000,4990000,5020000,5050000,5060000,5070000,5090000,5100000,5120000,5120000,5120000,5120000,5110000,5110000,5110000,5120000,5130000,5130000,5130000,5140000,5150000,5170000,5190000,5210000,5230000,5260000,5280000,5300000,5320000,5340000,5360000,5380000,5390000,5400000,5420000,5440000,5460000,5490000,5520000,5550000,5570000,5590000,5610000,5640000,5680000,5730000,5770000
